,Date,Home Team,Visitor Team,Home Team Score,Visitor Team Score,Point Difference,Home Win,Home Loss
0,2020-12-22T00:00:00.000Z,Brooklyn Nets,Golden State Warriors,125,99,26,1,0
1,2020-12-22T00:00:00.000Z,Los Angeles Lakers,LA Clippers,109,116,-7,0,1
2,2020-12-25T00:00:00.000Z,Miami Heat,New Orleans Pelicans,111,98,13,1,0
3,2020-12-26T00:00:00.000Z,Washington Wizards,Orlando Magic,120,130,-10,0,1
4,2020-12-23T00:00:00.000Z,Cleveland Cavaliers,Charlotte Hornets,121,114,7,1,0
5,2020-12-23T00:00:00.000Z,Minnesota Timberwolves,Detroit Pistons,111,101,10,1,0
6,2020-12-25T00:00:00.000Z,Milwaukee Bucks,Golden State Warriors,138,99,39,1,0
7,2020-12-23T00:00:00.000Z,Indiana Pacers,New York Knicks,121,107,14,1,0
8,2020-12-23T00:00:00.000Z,Orlando Magic,Miami Heat,113,107,6,1,0
9,2020-12-23T00:00:00.000Z,Denver Nuggets,Sacramento Kings,122,124,-2,0,1
10,2020-12-23T00:00:00.000Z,Portland Trail Blazers,Utah Jazz,100,120,-20,0,1
11,2020-12-23T00:00:00.000Z,Philadelphia 76ers,Washington Wizards,113,107,6,1,0
12,2020-12-25T00:00:00.000Z,Boston Celtics,Brooklyn Nets,95,123,-28,0,1
13,2020-12-25T00:00:00.000Z,Los Angeles Lakers,Dallas Mavericks,138,115,23,1,0
14,2020-12-25T00:00:00.000Z,Denver Nuggets,LA Clippers,108,121,-13,0,1
15,2020-12-23T00:00:00.000Z,Boston Celtics,Milwaukee Bucks,122,121,1,1,0
16,2020-12-23T00:00:00.000Z,Chicago Bulls,Atlanta Hawks,104,124,-20,0,1
17,2020-12-26T00:00:00.000Z,Memphis Grizzlies,Atlanta Hawks,112,122,-10,0,1
18,2020-12-23T00:00:00.000Z,Memphis Grizzlies,San Antonio Spurs,119,131,-12,0,1
19,2020-12-23T00:00:00.000Z,Toronto Raptors,New Orleans Pelicans,99,113,-14,0,1
20,2020-12-23T00:00:00.000Z,Phoenix Suns,Dallas Mavericks,106,102,4,1,0
21,2020-12-26T00:00:00.000Z,Charlotte Hornets,Oklahoma City Thunder,107,109,-2,0,1
22,2020-12-26T00:00:00.000Z,Detroit Pistons,Cleveland Cavaliers,119,128,-9,0,1
23,2020-12-26T00:00:00.000Z,New York Knicks,Philadelphia 76ers,89,109,-20,0,1
24,2020-12-26T00:00:00.000Z,Chicago Bulls,Indiana Pacers,106,125,-19,0,1
25,2020-12-26T00:00:00.000Z,San Antonio Spurs,Toronto Raptors,119,114,5,1,0
26,2020-12-26T00:00:00.000Z,Utah Jazz,Minnesota Timberwolves,111,116,-5,0,1
27,2020-12-26T00:00:00.000Z,Sacramento Kings,Phoenix Suns,106,103,3,1,0
28,2020-12-26T00:00:00.000Z,Portland Trail Blazers,Houston Rockets,128,126,2,1,0
29,2020-12-29T00:00:00.000Z,Washington Wizards,Chicago Bulls,107,115,-8,0,1
30,2020-12-29T00:00:00.000Z,Oklahoma City Thunder,Orlando Magic,107,118,-11,0,1
31,2020-12-27T00:00:00.000Z,Sacramento Kings,Phoenix Suns,100,116,-16,0,1
32,2020-12-27T00:00:00.000Z,Cleveland Cavaliers,Philadelphia 76ers,118,94,24,1,0
33,2020-12-27T00:00:00.000Z,Los Angeles Lakers,Minnesota Timberwolves,127,91,36,1,0
34,2020-12-27T00:00:00.000Z,Chicago Bulls,Golden State Warriors,128,129,-1,0,1
35,2020-12-29T00:00:00.000Z,LA Clippers,Minnesota Timberwolves,124,101,23,1,0
36,2020-12-27T00:00:00.000Z,Indiana Pacers,Boston Celtics,108,107,1,1,0
37,2020-12-29T00:00:00.000Z,Phoenix Suns,New Orleans Pelicans,111,86,25,1,0
38,2020-12-27T00:00:00.000Z,New York Knicks,Milwaukee Bucks,130,110,20,1,0
39,2020-12-27T00:00:00.000Z,LA Clippers,Dallas Mavericks,73,124,-51,0,1
40,2020-12-27T00:00:00.000Z,Charlotte Hornets,Brooklyn Nets,106,104,2,1,0
41,2020-12-27T00:00:00.000Z,Washington Wizards,Orlando Magic,113,120,-7,0,1
42,2020-12-27T00:00:00.000Z,New Orleans Pelicans,San Antonio Spurs,98,95,3,1,0
43,2020-12-29T00:00:00.000Z,Philadelphia 76ers,Toronto Raptors,100,93,7,1,0
44,2020-12-28T00:00:00.000Z,Atlanta Hawks,Detroit Pistons,128,120,8,1,0
45,2020-12-28T00:00:00.000Z,Brooklyn Nets,Memphis Grizzlies,111,116,-5,0,1
46,2020-12-28T00:00:00.000Z,Oklahoma City Thunder,Utah Jazz,109,110,-1,0,1
47,2020-12-28T00:00:00.000Z,Denver Nuggets,Houston Rockets,124,111,13,1,0
48,2020-12-28T00:00:00.000Z,Los Angeles Lakers,Portland Trail Blazers,107,115,-8,0,1
49,2021-01-17T00:00:00.000Z,Washington Wizards,Cleveland Cavaliers,119,110,9,1,0
50,2021-01-04T00:00:00.000Z,Philadelphia 76ers,Charlotte Hornets,118,101,17,1,0
51,2021-01-15T00:00:00.000Z,Oklahoma City Thunder,Chicago Bulls,127,125,2,1,0
52,2021-01-29T00:00:00.000Z,Charlotte Hornets,Indiana Pacers,108,105,3,1,0
53,2020-12-30T00:00:00.000Z,LA Clippers,Portland Trail Blazers,128,105,23,1,0
54,2021-01-30T00:00:00.000Z,Boston Celtics,Los Angeles Lakers,95,96,-1,0,1
55,2021-01-31T00:00:00.000Z,New York Knicks,LA Clippers,115,129,-14,0,1
56,2021-01-03T00:00:00.000Z,Memphis Grizzlies,Los Angeles Lakers,94,108,-14,0,1
57,2021-01-07T00:00:00.000Z,Memphis Grizzlies,Cleveland Cavaliers,90,94,-4,0,1
58,2021-02-26T00:00:00.000Z,Detroit Pistons,Sacramento Kings,107,110,-3,0,1
59,2021-01-01T00:00:00.000Z,Dallas Mavericks,Miami Heat,93,83,10,1,0
60,2021-01-09T00:00:00.000Z,Dallas Mavericks,Orlando Magic,112,98,14,1,0
61,2021-01-02T00:00:00.000Z,Philadelphia 76ers,Charlotte Hornets,127,112,15,1,0
62,2021-02-06T00:00:00.000Z,Cleveland Cavaliers,Milwaukee Bucks,99,124,-25,0,1
63,2021-01-10T00:00:00.000Z,Brooklyn Nets,Oklahoma City Thunder,116,129,-13,0,1
64,2020-12-29T00:00:00.000Z,Detroit Pistons,Golden State Warriors,106,116,-10,0,1
65,2020-12-31T00:00:00.000Z,Indiana Pacers,Cleveland Cavaliers,119,99,20,1,0
66,2021-01-11T00:00:00.000Z,Washington Wizards,Phoenix Suns,128,107,21,1,0
67,2021-01-18T00:00:00.000Z,Miami Heat,Detroit Pistons,113,107,6,1,0
68,2021-02-17T00:00:00.000Z,Philadelphia 76ers,Houston Rockets,118,113,5,1,0
69,2021-03-04T00:00:00.000Z,Washington Wizards,LA Clippers,119,117,2,1,0
70,2021-01-06T00:00:00.000Z,New York Knicks,Utah Jazz,112,100,12,1,0
71,2021-02-03T00:00:00.000Z,Oklahoma City Thunder,Houston Rockets,104,87,17,1,0
72,2021-02-05T00:00:00.000Z,Orlando Magic,Chicago Bulls,123,119,4,1,0
73,2021-01-22T00:00:00.000Z,Philadelphia 76ers,Boston Celtics,122,110,12,1,0
74,2021-01-08T00:00:00.000Z,Detroit Pistons,Phoenix Suns,110,105,5,1,0
75,2021-01-22T00:00:00.000Z,Sacramento Kings,New York Knicks,103,94,9,1,0
76,2021-01-27T00:00:00.000Z,Atlanta Hawks,Brooklyn Nets,128,132,-4,0,1
77,2021-01-27T00:00:00.000Z,Utah Jazz,Dallas Mavericks,116,104,12,1,0
78,2021-02-15T00:00:00.000Z,Golden State Warriors,Cleveland Cavaliers,129,98,31,1,0
79,2021-02-10T00:00:00.000Z,Los Angeles Lakers,Oklahoma City Thunder,114,113,1,1,0
80,2021-02-25T00:00:00.000Z,Denver Nuggets,Washington Wizards,110,112,-2,0,1
81,2021-01-20T00:00:00.000Z,Houston Rockets,Phoenix Suns,103,109,-6,0,1
82,2021-02-04T00:00:00.000Z,Los Angeles Lakers,Denver Nuggets,114,93,21,1,0
83,2021-02-16T00:00:00.000Z,Milwaukee Bucks,Toronto Raptors,113,124,-11,0,1
84,2021-01-23T00:00:00.000Z,Utah Jazz,Golden State Warriors,127,108,19,1,0
85,2021-01-16T00:00:00.000Z,Phoenix Suns,Indiana Pacers,111,122,-11,0,1
86,2021-02-24T00:00:00.000Z,New Orleans Pelicans,Detroit Pistons,128,118,10,1,0
87,2021-02-19T00:00:00.000Z,Minnesota Timberwolves,Toronto Raptors,81,86,-5,0,1
88,2021-03-03T00:00:00.000Z,Minnesota Timberwolves,Charlotte Hornets,102,135,-33,0,1
89,2021-01-24T00:00:00.000Z,LA Clippers,Oklahoma City Thunder,108,100,8,1,0
90,2021-02-12T00:00:00.000Z,Chicago Bulls,LA Clippers,106,125,-19,0,1
91,2021-01-25T00:00:00.000Z,Brooklyn Nets,Miami Heat,98,85,13,1,0
92,2021-02-13T00:00:00.000Z,New York Knicks,Houston Rockets,121,99,22,1,0
93,2021-02-20T00:00:00.000Z,Memphis Grizzlies,Phoenix Suns,97,128,-31,0,1
94,2021-02-14T00:00:00.000Z,Toronto Raptors,Minnesota Timberwolves,112,116,-4,0,1
