,team,rating
0,Atlanta Hawks,2.205902774986991
1,Boston Celtics,1.3176210183855543
2,Brooklyn Nets,5.331597115980289
3,Charlotte Hornets,-2.254194325055262
4,Chicago Bulls,-0.9348750648803714
5,Cleveland Cavaliers,-8.241444310623763
6,Dallas Mavericks,2.4801169216081576
7,Denver Nuggets,4.790086610241035
8,Detroit Pistons,-4.3748291988252515
9,Golden State Warriors,1.0192264382902763
10,Houston Rockets,-7.505012403744622
11,Indiana Pacers,-0.1708498279180652
12,LA Clippers,5.789547875041189
13,Los Angeles Lakers,3.0295448923509545
14,Memphis Grizzlies,1.3353453756888825
15,Miami Heat,-0.8031540708319825
16,Milwaukee Bucks,5.666647497823816
17,Minnesota Timberwolves,-5.251709114455148
18,New Orleans Pelicans,-0.14511053576952626
19,New York Knicks,2.070931807456094
20,Oklahoma City Thunder,-10.131644048656025
21,Orlando Magic,-9.014767332983464
22,Philadelphia 76ers,5.404578120643434
23,Phoenix Suns,5.400428298525875
24,Portland Trail Blazers,1.8262668972255267
25,Sacramento Kings,-3.7050630697357447
26,San Antonio Spurs,-1.5865804166665736
27,Toronto Raptors,-0.534880398142594
28,Utah Jazz,8.771121000542676
29,Washington Wizards,-1.7848485333709536
