,Date,Home Team,Visitor Team,Home Team Score,Visitor Team Score
0,2020-12-22T00:00:00.000Z,Brooklyn Nets,Golden State Warriors,125,99
1,2020-12-22T00:00:00.000Z,Los Angeles Lakers,LA Clippers,109,116
2,2020-12-25T00:00:00.000Z,Miami Heat,New Orleans Pelicans,111,98
3,2020-12-26T00:00:00.000Z,Washington Wizards,Orlando Magic,120,130
4,2020-12-23T00:00:00.000Z,Cleveland Cavaliers,Charlotte Hornets,121,114
5,2020-12-23T00:00:00.000Z,Minnesota Timberwolves,Detroit Pistons,111,101
6,2020-12-25T00:00:00.000Z,Milwaukee Bucks,Golden State Warriors,138,99
7,2020-12-23T00:00:00.000Z,Indiana Pacers,New York Knicks,121,107
8,2020-12-23T00:00:00.000Z,Orlando Magic,Miami Heat,113,107
9,2020-12-23T00:00:00.000Z,Denver Nuggets,Sacramento Kings,122,124
10,2020-12-23T00:00:00.000Z,Portland Trail Blazers,Utah Jazz,100,120
11,2020-12-23T00:00:00.000Z,Philadelphia 76ers,Washington Wizards,113,107
12,2020-12-25T00:00:00.000Z,Boston Celtics,Brooklyn Nets,95,123
13,2020-12-25T00:00:00.000Z,Los Angeles Lakers,Dallas Mavericks,138,115
14,2020-12-25T00:00:00.000Z,Denver Nuggets,LA Clippers,108,121
15,2020-12-23T00:00:00.000Z,Boston Celtics,Milwaukee Bucks,122,121
16,2020-12-23T00:00:00.000Z,Chicago Bulls,Atlanta Hawks,104,124
17,2020-12-26T00:00:00.000Z,Memphis Grizzlies,Atlanta Hawks,112,122
18,2020-12-23T00:00:00.000Z,Memphis Grizzlies,San Antonio Spurs,119,131
19,2020-12-23T00:00:00.000Z,Toronto Raptors,New Orleans Pelicans,99,113
20,2020-12-23T00:00:00.000Z,Phoenix Suns,Dallas Mavericks,106,102
21,2020-12-26T00:00:00.000Z,Charlotte Hornets,Oklahoma City Thunder,107,109
22,2020-12-26T00:00:00.000Z,Detroit Pistons,Cleveland Cavaliers,119,128
23,2020-12-26T00:00:00.000Z,New York Knicks,Philadelphia 76ers,89,109
24,2020-12-26T00:00:00.000Z,Chicago Bulls,Indiana Pacers,106,125
25,2020-12-26T00:00:00.000Z,San Antonio Spurs,Toronto Raptors,119,114
26,2020-12-26T00:00:00.000Z,Utah Jazz,Minnesota Timberwolves,111,116
27,2020-12-26T00:00:00.000Z,Sacramento Kings,Phoenix Suns,106,103
28,2020-12-26T00:00:00.000Z,Portland Trail Blazers,Houston Rockets,128,126
29,2020-12-29T00:00:00.000Z,Washington Wizards,Chicago Bulls,107,115
30,2020-12-29T00:00:00.000Z,Oklahoma City Thunder,Orlando Magic,107,118
31,2020-12-27T00:00:00.000Z,Sacramento Kings,Phoenix Suns,100,116
32,2020-12-27T00:00:00.000Z,Cleveland Cavaliers,Philadelphia 76ers,118,94
33,2020-12-27T00:00:00.000Z,Los Angeles Lakers,Minnesota Timberwolves,127,91
34,2020-12-27T00:00:00.000Z,Chicago Bulls,Golden State Warriors,128,129
35,2020-12-29T00:00:00.000Z,LA Clippers,Minnesota Timberwolves,124,101
36,2020-12-27T00:00:00.000Z,Indiana Pacers,Boston Celtics,108,107
37,2020-12-29T00:00:00.000Z,Phoenix Suns,New Orleans Pelicans,111,86
38,2020-12-27T00:00:00.000Z,New York Knicks,Milwaukee Bucks,130,110
39,2020-12-27T00:00:00.000Z,LA Clippers,Dallas Mavericks,73,124
40,2020-12-27T00:00:00.000Z,Charlotte Hornets,Brooklyn Nets,106,104
41,2020-12-27T00:00:00.000Z,Washington Wizards,Orlando Magic,113,120
42,2020-12-27T00:00:00.000Z,New Orleans Pelicans,San Antonio Spurs,98,95
43,2020-12-29T00:00:00.000Z,Philadelphia 76ers,Toronto Raptors,100,93
44,2020-12-28T00:00:00.000Z,Atlanta Hawks,Detroit Pistons,128,120
45,2020-12-28T00:00:00.000Z,Brooklyn Nets,Memphis Grizzlies,111,116
46,2020-12-28T00:00:00.000Z,Oklahoma City Thunder,Utah Jazz,109,110
47,2020-12-28T00:00:00.000Z,Denver Nuggets,Houston Rockets,124,111
48,2020-12-28T00:00:00.000Z,Los Angeles Lakers,Portland Trail Blazers,107,115
49,2021-01-17T00:00:00.000Z,Washington Wizards,Cleveland Cavaliers,119,110
50,2021-01-04T00:00:00.000Z,Philadelphia 76ers,Charlotte Hornets,118,101
51,2021-01-15T00:00:00.000Z,Oklahoma City Thunder,Chicago Bulls,127,125
52,2021-01-29T00:00:00.000Z,Charlotte Hornets,Indiana Pacers,108,105
53,2020-12-30T00:00:00.000Z,LA Clippers,Portland Trail Blazers,128,105
54,2021-01-30T00:00:00.000Z,Boston Celtics,Los Angeles Lakers,95,96
55,2021-01-31T00:00:00.000Z,New York Knicks,LA Clippers,115,129
56,2021-01-03T00:00:00.000Z,Memphis Grizzlies,Los Angeles Lakers,94,108
57,2021-01-07T00:00:00.000Z,Memphis Grizzlies,Cleveland Cavaliers,90,94
58,2021-02-26T00:00:00.000Z,Detroit Pistons,Sacramento Kings,107,110
59,2021-01-01T00:00:00.000Z,Dallas Mavericks,Miami Heat,93,83
60,2021-01-09T00:00:00.000Z,Dallas Mavericks,Orlando Magic,112,98
61,2021-01-02T00:00:00.000Z,Philadelphia 76ers,Charlotte Hornets,127,112
62,2021-02-06T00:00:00.000Z,Cleveland Cavaliers,Milwaukee Bucks,99,124
